Nation,State,County,Place,Latitude,Longitude,Elevation (meters)
United States of America,California,Contra Costa,Walnut Creek,37.909956,-122.047373,49.46865845
United States of America,California,Contra Costa,West Contra Costa,37.9842114,-122.3217657,
United States of America,California,Del Norte,Bertsch-Oceanview,41.753811,-124.160784,9.783690453
United States of America,California,Del Norte,Crescent City,41.7893736,-124.2639255,
United States of America,California,Del Norte,Crescent City,41.754821,-124.201206,11.16114521
United States of America,California,Del Norte,Crescent City North,41.7627,-124.208602,17.59165764
United States of America,California,Del Norte,Gasquet,41.84289,-123.973096,189
United States of America,California,Del Norte,Hiouchi,41.793664,-124.066113,185
United States of America,California,Del Norte,Klamath,41.533075,-124.014866,225.1154938
United States of America,California,Del Norte,Klamath,41.5728126,-124.0350111,
United States of America,California,Del Norte,Smith River,41.924959,-124.149319,125
United States of America,California,Del Norte,Smith River-Gasquet,41.7356123,-123.9096887,
United States of America,California,El Dorado,Auburn Lake Trails,38.891636,-120.984949,253
United States of America,California,El Dorado,Cameron Park,38.676521,-120.989406,374.1908569
United States of America,California,El Dorado,Camino,38.741161,-120.681577,961
United States of America,California,El Dorado,Cold Springs,38.746784,-120.876113,487
United States of America,California,El Dorado,Coloma,38.802617,-120.894634,506
United States of America,California,El Dorado,Diamond Springs,38.685028,-120.823987,537.4555664
United States of America,California,El Dorado,El Dorado Hills,38.688223,-121.078461,222.0303345
United States of America,California,El Dorado,Georgetown,38.908317,-120.834453,818.6634521
United States of America,California,El Dorado,Grizzly Flats,38.635696,-120.535431,1137
United States of America,California,El Dorado,North El Dorado,38.854359,-120.5969954,
United States of America,California,El Dorado,Placerville,38.729267,-120.803,581.1014404
United States of America,California,El Dorado,Placerville,38.7429945,-120.7930617,
United States of America,California,El Dorado,Pollock Pines,38.756662,-120.5754845,1205.920288
United States of America,California,El Dorado,Shingle Springs,38.6730345,-120.9340905,476.7264709
United States of America,California,El Dorado,South El Dorado,38.6606906,-120.5677877,
United States of America,California,El Dorado,South Lake Tahoe,38.929237,-119.984347,1905.480347
United States of America,California,El Dorado,South Lake Tahoe,38.9085958,-120.0312387,
United States of America,California,El Dorado,Tahoma,39.063305,-120.143827,2074
United States of America,California,Fresno,Auberry,37.077754,-119.494591,645.7752686
United States of America,California,Fresno,Big Creek,37.203564,-119.248488,1916
United States of America,California,Fresno,Biola,36.802534,-120.019025,76.98157501
United States of America,California,Fresno,Bowles,36.604499,-119.752246,84.61347198
United States of America,California,Fresno,Calwa,36.71373,-119.761239,93
United States of America,California,Fresno,Calwa,36.680749,-119.733978,90.09249115
United States of America,California,Fresno,Cantua Creek,36.505318,-120.315835,88.90055084
United States of America,California,Fresno,Caruthers,36.540356,-119.836637,74.57049561
United States of America,California,Fresno,Caruthers-Raisin City,36.5710545,-119.9197382,
United States of America,California,Fresno,Centerville,36.736159,-119.495977,138
United States of America,California,Fresno,Clovis,36.819432,-119.694723,110.1935272
United States of America,California,Fresno,Coalinga,36.140734,-120.358301,203.9429932
United States of America,California,Fresno,Coalinga,36.204251,-120.4089333,
United States of America,California,Fresno,Del Rey,36.657195,-119.594672,104.4182663
United States of America,California,Fresno,Easton,36.651649,-119.789844,83.98641205
United States of America,California,Fresno,Firebaugh,36.872597,-120.6261104,
United States of America,California,Fresno,Firebaugh,36.856148,-120.453998,45.82394791
United States of America,California,Fresno,Fort Washington,36.879297,-119.761255,120
United States of America,California,Fresno,Fowler,36.6169745,-119.6651655,94.98934937
United States of America,California,Fresno,Fowler,36.6305597,-119.6959535,
United States of America,California,Fresno,Fresno,36.780489,-119.7622741,
United States of America,California,Fresno,Fresno,36.781549,-119.792113,94.94335175
United States of America,California,Fresno,Friant,36.984049,-119.715904,102.8670349
United States of America,California,Fresno,Huron,36.203054,-120.099743,112.1333466
United States of America,California,Fresno,Huron,36.2544604,-120.0934299,
United States of America,California,Fresno,Kerman,36.726082,-120.059416,67.21820831
United States of America,California,Fresno,Kerman,36.7238132,-120.0919777,
United States of America,California,Fresno,Kingsburg,36.5258535,-119.5650075,92.85771942
United States of America,California,Fresno,Kingsburg,36.540991,-119.5428388,
United States of America,California,Fresno,Lanare,36.442367,-119.927411,63.33375931
United States of America,California,Fresno,Laton,36.4550589,-119.7117317,
United States of America,California,Fresno,Laton,36.4349,-119.685835,78.5549469
United States of America,California,Fresno,Malaga,36.681601,-119.731785,95
United States of America,California,Fresno,Mayfair,36.76927,-119.761346,100
United States of America,California,Fresno,Mendota,36.626297,-120.5773805,
United States of America,California,Fresno,Mendota,36.756198,-120.382118,52.34906006
United States of America,California,Fresno,Minkler,36.727629,-119.458657,215
United States of America,California,Fresno,Monmouth,36.56562,-119.740475,86
United States of America,California,Fresno,Old Fig Garden,36.79885,-119.805152,104
United States of America,California,Fresno,Orange Cove,36.6175959,-119.3406813,
United States of America,California,Fresno,Orange Cove,36.624449,-119.313984,129.0684052
United States of America,California,Fresno,Parlier,36.609418,-119.536165,104.1354523
United States of America,California,Fresno,Parlier-Del Rey,36.6209767,-119.5350781,
United States of America,California,Fresno,Raisin City,36.602448,-119.905103,72.13406372
United States of America,California,Fresno,Reedley,36.600465,-119.4579595,106.2650833
United States of America,California,Fresno,Reedley,36.6581839,-119.4329754,
United States of America,California,Fresno,Riverdale,36.430799,-119.862121,67.89581299
United States of America,California,Fresno,Riverdale,36.4461627,-119.9069028,
United States of America,California,Fresno,San Joaquin,36.60706,-120.191365,52.63162994
United States of America,California,Fresno,San Joaquin-Tranquillity,36.5557643,-120.2392392,
United States of America,California,Fresno,Sanger,36.7621974,-119.5501021,
United States of America,California,Fresno,Sanger,36.70425,-119.558771,111.733551
United States of America,California,Fresno,Selma,36.541718,-119.6738128,
United States of America,California,Fresno,Selma,36.572699,-119.612752,94.45110321
United States of America,California,Fresno,Shaver Lake,37.101021,-119.316265,1694.579102
United States of America,California,Fresno,Sierra,37.095605,-119.0596968,
United States of America,California,Fresno,Squaw Valley,36.691806,-119.180019,436.2267456
United States of America,California,Fresno,Sunnyside,36.729434,-119.694571,104
United States of America,California,Fresno,Tarpey Village,36.793966,-119.701049,114
United States of America,California,Fresno,Three Rocks,36.505148,-120.393534,123
United States of America,California,Fresno,Tranquillity,36.648199,-120.251549,50.40334702
United States of America,California,Fresno,West Park,36.705527,-119.851548,85
United States of America,California,Glenn,Artois,39.63318,-122.189757,55
United States of America,California,Glenn,Elk Creek,39.600137,-122.537531,239
United States of America,California,Glenn,Hamilton City,39.742153,-122.012748,46.45155334
United States of America,California,Glenn,Orland,39.7011059,-122.4395749,
United States of America,California,Glenn,Orland,39.747758,-122.192169,77.56324768
United States of America,California,Glenn,Willows,39.519876,-122.198846,40.97708893
United States of America,California,Glenn,Willows,39.4931754,-122.3424492,
United States of America,California,Humboldt,Alderpoint,40.161343,-123.615738,128
United States of America,California,Humboldt,Arcata,40.890954,-124.0809145,11.61963177
United States of America,California,Humboldt,Arcata,40.735612,-123.8656711,
United States of America,California,Humboldt,Bayview,40.767795,-124.181276,25.89996338
United States of America,California,Humboldt,Benbow,40.060268,-123.765383,282
United States of America,California,Humboldt,Big Lagoon,41.159361,-124.129867,22
United States of America,California,Humboldt,Blue Lake,40.878694,-123.9914715,25.41799927
United States of America,California,Humboldt,Cutten,40.763351,-124.146775,61.7995224
United States of America,California,Humboldt,Eureka,40.800906,-124.159695,16.78075218
United States of America,California,Humboldt,Eureka,40.7093975,-124.099352,
United States of America,California,Humboldt,Ferndale,40.579066,-124.263219,13.7429142
United States of America,California,Humboldt,Ferndale,40.3872893,-124.3154046,
United States of America,California,Humboldt,Fieldbrook,40.972243,-124.025003,155
United States of America,California,Humboldt,Fields Landing,40.724833,-124.217634,1
United States of America,California,Humboldt,Fortuna,40.586742,-124.146101,18.84576607
United States of America,California,Humboldt,Fortuna,40.5293409,-123.8661253,
United States of America,California,Humboldt,Garberville,40.2108954,-123.8600004,
United States of America,California,Humboldt,Garberville,40.100421,-123.79489,393
United States of America,California,Humboldt,Humboldt Hill,40.732109,-124.203324,13.21320629
United States of America,California,Humboldt,Hydesville,40.548483,-124.088279,107.7914047
United States of America,California,Humboldt,Indianola,40.813247,-124.080831,27
United States of America,California,Humboldt,Loleta,40.640885,-124.222564,51
United States of America,California,Humboldt,Manila,40.851418,-124.163054,1
United States of America,California,Humboldt,McKinleyville,40.947392,-124.102547,41.83130264
United States of America,California,Humboldt,Miranda,40.228883,-123.817252,68
United States of America,California,Humboldt,Myers Flat,40.266564,-123.873666,104
United States of America,California,Humboldt,Myrtletown,40.790623,-124.130082,29.74577522
United States of America,California,Humboldt,North Coastal,41.0962596,-124.0036728,
United States of America,California,Humboldt,Orick,41.290917,-124.069139,223
United States of America,California,Humboldt,Phillipsville,40.211741,-123.784449,109
United States of America,California,Humboldt,Pine Hills,40.74175,-124.162222,61.69903183
United States of America,California,Humboldt,Redcrest,40.398774,-123.947416,192
United States of America,California,Humboldt,Redway,40.119444,-123.826411,151.8374329
United States of America,California,Humboldt,Rio Dell,40.498594,-124.105637,48.64405823
United States of America,California,Humboldt,Samoa,40.814609,-124.189214,8
United States of America,California,Humboldt,Scotia,40.477495,-124.10318,42
United States of America,California,Humboldt,Shelter Cove,40.038956,-124.055826,403
United States of America,California,Humboldt,Trinidad,41.061976,-124.141255,50.42752075
United States of America,California,Humboldt,Weott,40.322587,-123.920859,95
United States of America,California,Humboldt,Westhaven-Moonstone,41.039522,-124.11117,83.26625824
United States of America,California,Humboldt,Willow Creek,40.902406,-123.689521,720.1801147
United States of America,California,Humboldt,Willow Creek-Hoopa Valley,41.1483116,-123.6909175,
United States of America,California,Imperial,Bombay Beach,33.351726,-115.729073,-67.01565552
United States of America,California,Imperial,Brawley,32.977034,-115.536275,-32.59460068
United States of America,California,Imperial,Brawley,32.9827303,-115.4711527,
United States of America,California,Imperial,Calexico,32.678246,-115.497997,1.755832076
United States of America,California,Imperial,Calexico,32.6956968,-115.4952651,
United States of America,California,Imperial,Calipatria,33.1262,-115.51251,-54.24614716
United States of America,California,Imperial,Calipatria-Westmorland,33.1683043,-115.5764186,
United States of America,California,Imperial,Desert Shores,33.403148,-116.040706,-57.28001022
United States of America,California,Imperial,East Imperial,33.2019033,-115.1126532,
United States of America,California,Imperial,El Centro,32.7777185,-115.5991053,
United States of America,California,Imperial,El Centro,32.788139,-115.557966,-11.76295185
United States of America,California,Imperial,Heber,32.729039,-115.5223985,-2.001078606
United States of America,California,Imperial,Holtville,32.811885,-115.379512,-2.248252869
United States of America,California,Imperial,Holtville,32.8220033,-115.3586781,
United States of America,California,Imperial,Imperial,32.8655904,-115.557135,
United States of America,California,Imperial,Imperial,32.8359245,-115.574023,-16.32814407
United States of America,California,Imperial,Niland,33.238576,-115.513927,-41.46826172
United States of America,California,Imperial,Ocotillo,32.739308,-115.996683,121.1031647
United States of America,California,Imperial,Palo Verde,33.429419,-114.730094,70.80099487
United States of America,California,Imperial,Salton City,33.298601,-115.959575,-34.97371674
United States of America,California,Imperial,Salton Sea Beach,33.375007,-116.012506,-63.17154694
United States of America,California,Imperial,Seeley,32.792046,-115.68943,-10.85754013
United States of America,California,Imperial,West Imperial,33.0171389,-115.8499737,
United States of America,California,Imperial,Westmorland,33.037923,-115.622292,-49.60857773
United States of America,California,Imperial,Winterhaven,32.740055,-114.634696,39.96199799
United States of America,California,Imperial,Winterhaven-Bard,32.7799835,-114.5840716,
United States of America,California,Inyo,Big Pine,37.165377,-118.296321,1226.929199
United States of America,California,Inyo,Bishop,37.3323125,-118.4080146,
United States of America,California,Inyo,Bishop,37.365087,-118.394896,1264.359375
United States of America,California,Inyo,Cartago,36.319707,-118.025721,1103.093262
United States of America,California,Inyo,Darwin,36.268417,-117.59197,1461.759521
United States of America,California,Inyo,Death Valley,36.2706836,-116.8134914,
United States of America,California,Inyo,Dixon Lane-Meadow Creek,37.383237,-118.417027,1276.114136
United States of America,California,Inyo,Furnace Creek,36.451434,-116.858843,-20.8230629
United States of America,California,Inyo,Homewood Canyon,35.89004,-117.386417,1516
United States of America,California,Inyo,Homewood Canyon-Valley Wells,35.844162,-117.33985,577.4468384
United States of America,California,Inyo,Independence,36.80577,-118.202307,1194.03479
United States of America,California,Inyo,Independence,36.9449466,-117.9007638,
United States of America,California,Inyo,Keeler,36.487943,-117.872623,1101.327026
United States of America,California,Inyo,Lone Pine,36.586402,-118.070668,1155.139526
United States of America,California,Inyo,Lone Pine,36.1532572,-117.7580314,
United States of America,California,Inyo,Mesa,37.421647,-118.544166,1407.992065
United States of America,California,Inyo,Olancha,36.262509,-117.998944,1135.375244
United States of America,California,Inyo,Pearsonville,35.814477,-117.873781,773.2005615
United States of America,California,Inyo,Round Valley,37.414643,-118.59783,1473.765137
United States of America,California,Inyo,Shoshone,35.965923,-116.269652,473.2018433
United States of America,California,Inyo,Tecopa,35.84373,-116.211831,437.4079895
United States of America,California,Inyo,Trona,35.814987,-117.344893,696
United States of America,California,Inyo,Valley Wells,35.876128,-117.336566,964
United States of America,California,Inyo,West Bishop,37.361516,-118.44769,1331.919922
United States of America,California,Inyo,Wilkerson,37.274542,-118.385697,1332.395874
United States of America,California,Kern,Arvin,35.196044,-118.821438,129.7779999
United States of America,California,Kern,Arvin-Lamont,35.1978463,-118.8916321,
United States of America,California,Kern,Bakersfield,35.4127761,-118.9619622,
United States of America,California,Kern,Bakersfield,35.3186234,-119.089797,112.0183487
United States of America,California,Kern,Bear Valley Springs,35.169783,-118.644987,1277.004395
United States of America,California,Kern,Bodfish,35.589246,-118.481859,821.0908203
United States of America,California,Kern,Boron,35.015177,-117.660799,792.8487549
United States of America,California,Kern,Buttonwillow,35.3940158,-119.4164905,
United States of America,California,Kern,Buttonwillow,35.40906,-119.44291,90.41728973
United States of America,California,Kern,California City,35.161119,-117.873033,765.4986572
United States of America,California,Kern,Cherokee Strip,35.469566,-119.261525,103
United States of America,California,Kern,China Lake Acres,35.643513,-117.764261,738.7627563
United States of America,California,Kern,Delano,35.769649,-119.24632,96.20205688
United States of America,California,Kern,Delano-McFarland,35.6854889,-119.200331,
United States of America,California,Kern,Derby Acres,35.247512,-119.596825,422.838501
United States of America,California,Kern,Dustin Acres,35.215207,-119.381181,107.7765732
United States of America,California,Kern,East Kern,35.2072518,-117.9080045,
United States of America,California,Kern,Edmundson Acres,35.227295,-118.823251,149
United States of America,California,Kern,Edwards AFB,34.921701,-117.933043,719.3234863
United States of America,California,Kern,Fellows,35.177082,-119.546007,416.4692383
United States of America,California,Kern,Ford City,35.15675,-119.458148,273.0079956
United States of America,California,Kern,Frazier Park,34.822242,-118.948251,1426.862305
United States of America,California,Kern,Fuller Acres,35.302253,-118.914295,129
United States of America,California,Kern,Golden Hills,35.14568,-118.494549,1160.221802
United States of America,California,Kern,Greenacres,35.38322,-119.118249,120
United States of America,California,Kern,Greenfield,35.269109,-119.010249,108
United States of America,California,Kern,Greenfield-Panama,35.2305045,-119.1191249,
United States of America,California,Kern,Inyokern,35.64743,-117.813795,741.6188965
United States of America,California,Kern,Johannesburg,35.369564,-117.638983,1097.639526
United States of America,California,Kern,Keene,35.23909,-118.58251,772.2790527
United States of America,California,Kern,Kernville,35.745502,-118.427367,875.9485474
United States of America,California,Kern,Lake Isabella,35.5948852,-118.4762284,
